test_number,reaction_time,intensity,color_component,user_input,correct
1,3.8748130798339844,240,R,8,False
2,1.7876131534576416,111,G,6,True
3,4.911149263381958,255,B,2,True
4,1.4755840301513672,90,R,42,True
5,1.4140498638153076,87,G,76,True
6,0.9490535259246826,57,B,13,True
7,4.957022428512573,255,R,32,True
8,1.4137241840362549,87,G,59,True
9,1.0311925411224365,63,B,43,True
10,1.7670438289642334,111,R,99,True
