test_number,reaction_time,intensity,color_component
1,0.54862380027771,13.199999999999998,R
2,0.5019052028656006,11.999999999999998,G
3,0.06599903106689453,1.2,B
4,0.024999618530273438,0,R
5,0.016999244689941406,0,G
6,0.029998779296875,0,B
7,0.03027486801147461,0,R
8,0.030047893524169922,0,G
9,0.03093695640563965,0,B
10,0.029934406280517578,0,R
