test_number,reaction_time,intensity,color_component
1,1.306469202041626,33.599999999999994,R
2,0.5022802352905273,11.999999999999998,G
3,0.03599882125854492,0,B
4,0.026999235153198242,0,R
5,0.04699850082397461,1.2,G
6,0.030999422073364258,0,B
7,0.0299985408782959,0,R
8,0.37143683433532715,9.6,G
9,0.21998810768127441,4.8,B
10,0.17498993873596191,3.5999999999999996,R
